Source_orig,Target_orig,Source,Target
RPHA-1413,RPHA-1013,Csáktornyai Mátyás,Ilosvai Selymes Péter
RPHA-1158,RPHA-1013,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-1015,RPHA-1287,Sztárai Mihály,Ilosvai Selymes Péter
RPHA-1016,RPHA-1203,Sztárai Mihály,Szkhárosi Horvát András
RPHA-1255,RPHA-1020,Zombori Antal,Sztárai Mihály
RPHA-1021,RPHA-1024,Massay Ágnes,Szegedi Gergely
RPHA-1024,RPHA-1496,Szegedi Gergely,Zeleméri László
RPHA-1024,RPHA-1298,Szegedi Gergely,Szegedi Gergely
RPHA-1024,RPHA-1209,Szegedi Gergely,Skarica Máté
RPHA-1496,RPHA-1024,Zeleméri László,Szegedi Gergely
RPHA-1471,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1425,RPHA-1024,Palatics György,Szegedi Gergely
RPHA-1414,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1345,RPHA-1024,Szegedi Gergely,Szegedi Gergely
RPHA-1325,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1312,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1298,RPHA-1024,Szegedi Gergely,Szegedi Gergely
RPHA-1295,RPHA-1024,Sztárai Mihály,Szegedi Gergely
RPHA-1283,RPHA-1024,Sztárai Mihály,Szegedi Gergely
RPHA-1054,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0594,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0443,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1031,RPHA-1308,Németi Ferenc,Sztárai Mihály
RPHA-1341,RPHA-1031,Debreceni Szőr Gáspár,Németi Ferenc
RPHA-1308,RPHA-1031,Sztárai Mihály,Németi Ferenc
RPHA-0422,RPHA-1032,Bogáti Fazakas Miklós,Palatics György
RPHA-1036,RPHA-1052,Egri Miklós,Nagybáncsai Mátyás
RPHA-1230,RPHA-1041,Szkhárosi Horvát András,Dézsi András
RPHA-1049,RPHA-1302,Bogáti Fazakas Miklós,Tőke Ferenc
RPHA-1050,RPHA-3020,Rimay János,Dobó Jakab
RPHA-1052,RPHA-1306,Nagybáncsai Mátyás,Szegedi Gergely
RPHA-1052,RPHA-1301,Nagybáncsai Mátyás,Szkhárosi Horvát András
RPHA-1495,RPHA-1052,Tinódi Sebestyén,Nagybáncsai Mátyás
RPHA-1416,RPHA-1052,Eössi András,Nagybáncsai Mátyás
RPHA-1263,RPHA-1052,Sztárai Mihály,Nagybáncsai Mátyás
RPHA-1159,RPHA-1052,Bogáti Fazakas Miklós,Nagybáncsai Mátyás
RPHA-1108,RPHA-1052,Balassi Bálint,Nagybáncsai Mátyás
RPHA-1283,RPHA-1062,Sztárai Mihály,Dézsi András
RPHA-1309,RPHA-1065,Sztárai Mihály,Nagybáncsai Mátyás
RPHA-1077,RPHA-1332,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-1431,RPHA-1077,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-1086,RPHA-1249,Balassi Bálint,Pataki Névtelen
RPHA-1094,RPHA-1355,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-1110,RPHA-1300,Pap Benedek,Szegedi Gergely
RPHA-1474,RPHA-1110,V A,Pap Benedek
RPHA-1197,RPHA-1110,Sztárai Mihály,Pap Benedek
RPHA-1159,RPHA-1306,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1168,RPHA-0488,Rimay János,Balassi Bálint
RPHA-1171,RPHA-1301,Bornemisza Péter,Szkhárosi Horvát András
RPHA-1175,RPHA-1265,Lakatos Péter,Siderius János
RPHA-1325,RPHA-1175,Bogáti Fazakas Miklós,Lakatos Péter
RPHA-1181,RPHA-1355,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-1200,RPHA-1189,Rákóczi Zsigmond,Kákonyi Péter
RPHA-1197,RPHA-1194,Sztárai Mihály,Sztárai Mihály
RPHA-1209,RPHA-1496,Skarica Máté,Zeleméri László
RPHA-1209,RPHA-1298,Skarica Máté,Szegedi Gergely
RPHA-1496,RPHA-1209,Zeleméri László,Skarica Máté
RPHA-1298,RPHA-1209,Szegedi Gergely,Skarica Máté
RPHA-1295,RPHA-1209,Sztárai Mihály,Skarica Máté
RPHA-1477,RPHA-1219,Bogáti Fazakas Miklós,Szkhárosi Horvát András
RPHA-1231,RPHA-1219,Barát István,Szkhárosi Horvát András
RPHA-1383,RPHA-1223,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-1231,RPHA-1390,Barát István,Tivisunus Tamás
RPHA-3000,RPHA-1235,Rimay János,Balassi Bálint
RPHA-0743c,RPHA-1244,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0743b,RPHA-1245,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-1248,RPHA-1309,Sztárai Mihály,Sztárai Mihály
RPHA-1309,RPHA-1248,Sztárai Mihály,Sztárai Mihály
RPHA-1304,RPHA-1249,Balassi Bálint,Pataki Névtelen
RPHA-1259,RPHA-1390,Sztárai Mihály,Tivisunus Tamás
RPHA-0332c,RPHA-1261,Huszti Péter,Tinódi Sebestyén
RPHA-1263,RPHA-1301,Sztárai Mihály,Szkhárosi Horvát András
RPHA-1325,RPHA-1265,Bogáti Fazakas Miklós,Siderius János
RPHA-1172,RPHA-1265,Bogáti Fazakas Miklós,Siderius János
RPHA-1269,RPHA-1300,Póli István,Szegedi Gergely
RPHA-1273,RPHA-1340,Cegei Névtelen,Lévai Névtelen
RPHA-1283,RPHA-1496,Sztárai Mihály,Zeleméri László
RPHA-1283,RPHA-1414,Sztárai Mihály,Bogáti Fazakas Miklós
RPHA-1414,RPHA-1283,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-1420,RPHA-1287,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-1365,RPHA-1287,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-1295,RPHA-1298,Sztárai Mihály,Szegedi Gergely
RPHA-1298,RPHA-1496,Szegedi Gergely,Zeleméri László
RPHA-0212,RPHA-1325,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-1482,RPHA-1332,Tolnai Bálint,Tinódi Sebestyén
RPHA-1431,RPHA-1332,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-1345,RPHA-1428,Szegedi Gergely,Újlaki Péter
RPHA-1420,RPHA-1390,Bogáti Fazakas Miklós,Tivisunus Tamás
RPHA-1471,RPHA-1425,Bogáti Fazakas Miklós,Palatics György
RPHA-0824,RPHA-1425,Balassi Bálint,Palatics György
RPHA-0443,RPHA-1425,Bogáti Fazakas Miklós,Palatics György
RPHA-0422,RPHA-1425,Bogáti Fazakas Miklós,Palatics György
RPHA-0992,RPHA-3002,Balassi Bálint,Huszti Péter
RPHA-0579,RPHA-3020,"Balassi Bálint, Dobó Jakab",Dobó Jakab
RPHA-0192,RPHA-1238,Bereki István,Bereki István
